Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Care & Instructions (product.metafields.my_fields.care_instructions),Color (product.metafields.my_fields.color),Dimensions (product.metafields.my_fields.dimensions),EMI From (product.metafields.my_fields.emi_from),Estimate shipping time (product.metafields.my_fields.estimate_shipping_time),Free Delivery (product.metafields.my_fields.free_delivery),Marchant Details (product.metafields.my_fields.marchant_details),Material (product.metafields.my_fields.material),Product Subtitle (product.metafields.my_fields.product_subtitle),related 1 (product.metafields.my_fields.related_1),related 2 (product.metafields.my_fields.related_2),related 3 (product.metafields.my_fields.related_3),related 4 (product.metafields.my_fields.related_4),Short Description (product.metafields.my_fields.short_description),Soldout message (product.metafields.my_fields.soldout_message),Style (product.metafields.my_fields.style),Weight (product.metafields.my_fields.weight),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Leg material (product.metafields.shopify.leg-material),Material (product.metafields.shopify.material),Mount/Stand features (product.metafields.shopify.mount-stand-features),Mounting type (product.metafields.shopify.mounting-type),Suitable location (product.metafields.shopify.suitable-location),Tabletop color (product.metafields.shopify.tabletop-color),Tabletop material (product.metafields.shopify.tabletop-material),Tabletop shape (product.metafields.shopify.tabletop-shape),Top color (product.metafields.shopify.top-color),Top material (product.metafields.shopify.top-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,Skiddo Lite Engineered Wood TV Entertainment Unit Set Top Box Stand/TV Cabinet with Shelves for Books & Décor Display Unit Bed Living Room Upto 55 Inches - DIY (Brown Maple & White),"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Product Dimensions: Length ( 140 Cm Or 55.1 Inches) Breadth ( 36 Cm Or 14.1 Inches) Height ( 59.3 Cm Or 23.3 Inches)</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Made of Particle Board (High grade prelam engineering wood with natural wood grain finish)</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Color: Brown Maple &amp; White, Floor Standing TV Unit with Open Shelves for Storage, Decor &amp; Woofer, TV Size - Upto 55 Inches</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Assembly Required: DIY (Do-It-Yourself) Installation, It means you'll have to install it yourself or arrange a carpenter to install it for you. It comes with the necessary hardware including a detailed installation guide.</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Warranty : 2 years warranty on manufacturing defects.</span></p>
</li>
</ul>",Bluewud,Furniture > Entertainment Centers & TV Stands,TV Unit,#3f7fab__label:Trending,true,Title,Default Title,,,,,,,,TU-SKDL-MF,0.0,shopify,deny,manual,4499.00,7299.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_2.jpg?v=1765368101,1,"",false,,,,,,,,,,,,,,,,Maple and White,,,,Ships in 6-9 Days,,Engineered Wood,,,,,,,,Contemporary,,,,,,,,,,,,,,,,,kg,,,active
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_1.jpg?v=1765368101,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_4.jpg?v=1765368101,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/Dim_5106a6f7-6608-4d7e-a105-e429cf828820.jpg?v=1765368138,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_5.jpg?v=1765368101,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_6.jpg?v=1765368101,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_8.jpg?v=1765368128,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skiddo-lite-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-55-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-SKD-LMF_7.jpg?v=1765368129,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,Novebuk Engineered Wood Bookshelf Cabinet Book Rack Organizer Book Case with Shelves for Décor Display Wall Mount Floor Standing for Home Library (Brown Maple & White),"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Product Dimensions: Length (61.5 Cm or 24.2 Inches) Breadth (27 Cm or 10.6 Inches) Height (160 Cm or 63 Inches).</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Made of Particle Board (High grade prelam engineering wood with natural wood grain finish)</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Color - Brown Maple &amp; White, 5 Open Shelves, Store upto more 30 Books</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Assembly Required - Diy (Do-It-Yourself) Installation, It means you'll have to install it yourself or arrange a carpenter to install it for you. It comes with the necessary hardware including a detailed installation guide.</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Product Warranty 2 years warranty on manufacturing defects.</span></p>
</li>
</ul>",Bluewud,Furniture > Shelving > Bookcases & Standing Shelves > Rack Bookcases & Shelves,Book Shelf,Bestseller,true,Title,Default Title,,,,,,,,SB-NBK-MF,0.0,shopify,deny,manual,4099.00,6999.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_2.jpg?v=1765367135,1,"",false,,,,,,,,,,,,,,,,Brown maple and forst white,,,,Ships in 6-9 days,,Engineered Wood,,,,,,,,Contemporary,,,maple,,beds,,,,free-standing,living-room,,,,,,,kg,,,active
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_1.jpg?v=1765367135,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
